Rank,Category,Name,Country,City,Source,Industries,SelfMade,Gender,LastName,FirstName,FinalWorth,BirthDate,Age,birthYear,birthMonth,birthDay,Cpi_Country,Gdp_Country,Life_Expectancy_Country,Tax_Revenue_Country_Country,Total_Tax_Rate_Country,Population_Country,,Current Date
133,Energy,George Kaiser,United States,Tulsa,"Oil & gas, banking",Energy,FALSE,Male,Kaiser,George,13300,7/29/1942,83,1942,7,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
136,Automotive,Lu Xiangyang,China,Guangzhou,"Automobiles, batteries",Automotive,TRUE,Male,Lu,Xiangyang,13200,12/28/1962,63,1962,12,28,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
137,Real Estate,Harry Triguboff,Australia,Sydney,Real estate,Real Estate,TRUE,Male,Triguboff,Harry,13100,3/3/1933,93,1933,3,3,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
138,Finance & Investments,Uday Kotak,India,Mumbai,Banking,Finance & Investments,TRUE,Male,Kotak,Uday,12900,3/15/1959,67,1959,3,15,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
138,Sports,Stanley Kroenke,United States,Electra,"Sports, real estate",Sports,TRUE,Male,Kroenke,Stanley,12900,7/29/1947,78,1947,7,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
140,Energy,Mikhail Fridman,United Kingdom,London,"Oil, banking, telecom",Energy,TRUE,Male,Fridman,Mikhail,12600,4/21/1964,62,1964,4,21,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
141,Energy,Sarath Ratanavadi,Thailand,Bangkok,Energy,Energy,TRUE,Male,Ratanavadi,Sarath,12300,7/12/1965,60,1965,7,12,113.27,543649976166,76.9,14.9,29.5,69625582,,11/25/25
142,Metals & Mining,Dang Yanbao,China,Yinchuan,Coal,Metals & Mining,TRUE,Male,Dang,Yanbao,12200,2/1/1973,53,1973,2,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
142,Healthcare,Jiang Rensheng & family,China,Chongqing,Vaccines,Healthcare,TRUE,Male,Jiang,Rensheng,12200,10/8/1953,72,1953,10,8,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
144,Automotive,Shahid Khan,United States,Naples,Auto parts,Automotive,TRUE,Male,Khan,Shahid,12100,7/18/1950,75,1950,7,18,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
145,Technology,Laurene Powell Jobs & family,United States,Palo Alto,"Apple, Disney",Technology,FALSE,Female,Powell Jobs,Laurene,12000,11/6/1963,62,1963,11,6,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
147,Real Estate,Stephen Ross,United States,New York,Real estate,Real Estate,TRUE,Male,Ross,Stephen,11600,5/10/1940,86,1940,5,10,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
148,Technology,Pavel Durov,United Arab Emirates,Dubai,Messaging app,Technology,TRUE,Male,Durov,Pavel,11500,10/10/1984,41,1984,10,10,114.52,421142267938,77.8,0.1,15.9,9770529,,11/25/25
148,Healthcare,Andreas Struengmann & family,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,Male,Struengmann,Andreas,11500,2/16/1950,76,1950,2,16,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
148,Healthcare,Thomas Struengmann & family,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,Male,Struengmann,Thomas,11500,2/16/1950,76,1950,2,16,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
151,Food & Beverage,Liu Hanyuan,China,Chengdu,Agribusiness,Food & Beverage,TRUE,Male,Liu,Hanyuan,11400,1/1/1964,62,1964,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
151,Fashion & Retail,Michael Rubin,United States,Bryn Mawr,Online retail,Fashion & Retail,TRUE,Male,Rubin,Michael,11400,7/21/1972,53,1972,7,21,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
153,Finance & Investments,Israel Englander,United States,New York,Hedge funds,Finance & Investments,TRUE,Male,Englander,Israel,11300,9/30/1948,77,1948,9,30,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
153,Manufacturing,Viatcheslav Kantor,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,TRUE,Male,Kantor,Viatcheslav,11300,9/8/1953,72,1953,9,8,108.15,395098666122,82.8,23.1,25.3,9053300,,11/25/25
153,Manufacturing,Anthony Pratt,Australia,Melbourne,Manufacturing,Manufacturing,FALSE,Male,Pratt,Anthony,11300,4/11/1960,66,1960,4,11,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
153,Finance & Investments,Mikhail Prokhorov,Switzerland,Frauenfeld,Investments,Finance & Investments,TRUE,Male,Prokhorov,Mikhail,11300,5/3/1965,61,1965,5,3,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
157,Fashion & Retail,Giorgio Armani,Italy,Milan,Luxury goods,Fashion & Retail,TRUE,Male,Armani,Giorgio,11100,7/11/1934,91,1934,7,11,110.62,2001244392042,82.9,24.3,59.1,60297396,,11/25/25
157,Fashion & Retail,Johann Rupert & family,South Africa,Cape Town,Luxury goods,Fashion & Retail,FALSE,Male,Rupert,Johann,11100,6/1/1950,75,1950,6,1,158.93,351431649241,63.9,27.5,29.2,58558270,,11/25/25
159,Technology,Zhang Zhidong,China,Shenzhen,Internet media,Technology,TRUE,Male,Zhang,Zhidong,11000,1/1/1972,54,1972,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
161,Finance & Investments,Philip Anschutz,United States,Denver,"Energy, sports, entertainment",Finance & Investments,FALSE,Male,Anschutz,Philip,10900,12/28/1939,86,1939,12,28,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
161,Fashion & Retail,Judy Love & family,United States,Oklahoma City,Gas stations,Fashion & Retail,TRUE,Female,Love,Judy,10900,6/17/1937,88,1937,6,17,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
161,Fashion & Retail,Ricardo Salinas Pliego & family,Mexico,Mexico City,"Retail, media",Fashion & Retail,FALSE,Male,Salinas Pliego,Ricardo,10900,10/19/1955,70,1955,10,19,141.54,1258286717125,75,13.1,55.1,126014024,,11/25/25
164,Media & Entertainment,Donald Newhouse,United States,New York,Media,Media & Entertainment,FALSE,Male,Newhouse,Donald,10700,8/5/1929,96,1929,8,5,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
165,Sports,Robert Kraft,United States,Brookline,"Manufacturing, New England Patriots",Sports,TRUE,Male,Kraft,Robert,10600,6/5/1941,84,1941,6,5,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
165,Food & Beverage,Marcel Herrmann Telles,Brazil,Sao Paulo,Beer,Food & Beverage,TRUE,Male,Telles,Marcel Herrmann,10600,1/1/1950,76,1950,1,1,167.4,1839758040766,75.7,14.2,65.1,212559417,,11/25/25
167,Finance & Investments,Suleiman Kerimov & family,Russia,Moscow,Gold,Finance & Investments,TRUE,Male,Kerimov & family,Suleiman,10500,3/12/1966,60,1966,3,12,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
167,Fashion & Retail,Sky Xu,China,Guangzhou,E-commerce,Fashion & Retail,TRUE,Male,Xu,Sky,10500,1/1/1984,42,1984,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
167,Finance & Investments,Changpeng Zhao,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,TRUE,Male,Zhao,Changpeng,10500,9/10/1977,48,1977,9,10,114.52,421142267938,77.8,0.1,15.9,9770529,,11/25/25
170,Finance & Investments,Andrew Beal,United States,Dallas,"Banks, real estate",Finance & Investments,TRUE,Male,Beal,Andrew,10300,11/29/1952,73,1952,11,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
171,Technology,Mike Cannon-Brookes,Australia,Sydney,Software,Technology,TRUE,Male,Cannon-Brookes,Mike,10200,11/17/1979,46,1979,11,17,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
171,Healthcare,Carl Cook,United States,Bloomington,Medical devices,Healthcare,FALSE,Male,Cook,Carl,10200,8/19/1962,63,1962,8,19,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
171,Technology,David Duffield,United States,Incline Village,Business software,Technology,TRUE,Male,Duffield,David,10200,9/21/1940,85,1940,9,21,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
171,Energy,Jeffery Hildebrand,United States,Houston,Oil,Energy,TRUE,Male,Hildebrand,Jeffery,10200,3/5/1959,67,1959,3,5,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
171,Manufacturing,Viktor Rashnikov,Russia,Magnitogorsk,Steel,Manufacturing,TRUE,Male,Rashnikov,Viktor,10200,10/13/1948,77,1948,10,13,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
171,Technology,Eduardo Saverin,Singapore,Singapore,Facebook,Technology,TRUE,Male,Saverin,Eduardo,10200,3/19/1982,44,1982,3,19,114.41,372062527489,83.1,13.1,21,5703569,,11/25/25
171,Automotive,Georg Schaeffler,Germany,Herzogenaurach,Auto parts,Automotive,FALSE,Male,Schaeffler,Georg,10200,10/19/1964,61,1964,10,19,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
171,Fashion & Retail,Christy Walton,United States,Jackson,Walmart,Fashion & Retail,FALSE,Female,Walton,Christy,10200,2/8/1949,77,1949,2,8,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
179,Technology,Scott Farquhar,Australia,Sydney,Software,Technology,TRUE,Male,Farquhar,Scott,10100,12/17/1979,46,1979,12,17,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
179,Diversified,Quek Leng Chan,Malaysia,Kuala Lumpur,"Banking, property",Diversified,FALSE,Male,Quek,Leng Chan,10100,8/12/1941,84,1941,8,12,121.46,364701517788,76,12,38.7,32447385,,11/25/25
179,Real Estate,Wu Yajun,China,Beijing,Real estate,Real Estate,TRUE,Female,Wu,Yajun,10100,1/1/1964,62,1964,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
182,Energy,Autry Stephens,United States,Midland,Oil,Energy,TRUE,Male,Stephens,Autry,10000,3/8/1938,88,1938,3,8,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
183,Service,Liu Yongxing,China,Shanghai,Diversified,Service,TRUE,Male,Liu,Yongxing,9900,6/1/1948,77,1948,6,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
184,Diversified,Vinod Adani,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,TRUE,Male,Adani,Vinod,9800,1/10/1949,77,1949,1,10,114.52,421142267938,77.8,0.1,15.9,9770529,,11/25/25
184,Fashion & Retail,Nicolas Puech,Switzerland,Martigny,Hermes,Fashion & Retail,FALSE,Male,Puech,Nicolas,9800,1/29/1943,83,1943,1,29,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
184,Logistics,"Jacques Saadé, Jr.",France,Marseille,Shipping,Logistics,FALSE,Male,Saadé,Jacques,9800,8/10/1971,54,1971,8,10,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
184,Logistics,Rodolphe Saadé,France,Marseille,Shipping,Logistics,FALSE,Male,Saadé,Rodolphe,9800,3/3/1970,56,1970,3,3,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
184,Logistics,Tanya Saadé Zeenny,France,Marseille,Shipping,Logistics,FALSE,Female,Saadé Zeenny,Tanya,9800,2/1/1968,58,1968,2,1,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
184,Finance & Investments,Melker Schorling & family,Sweden,Stockholm,Investments,Finance & Investments,TRUE,Male,Schorling,Melker,9800,5/15/1947,79,1947,5,15,110.51,530832908738,82.5,27.9,49.1,10285453,,11/25/25
190,Manufacturing,Andrei Guriev & family,Russia,Moscow,Fertilizers,Manufacturing,TRUE,Male,Guriev & family,Andrei,9700,3/24/1960,66,1960,3,24,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
190,Finance & Investments,Michael Kim,South Korea,Seoul,Private equity,Finance & Investments,TRUE,Male,Kim,Michael,9700,10/1/1963,62,1963,10,1,115.16,2029000000000,82.6,15.6,33.2,51709098,,11/25/25
190,Technology,Lei Jun,China,Beijing,Smartphones,Technology,TRUE,Male,Lei,Jun,9700,12/16/1969,56,1969,12,16,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
190,Manufacturing,Friedhelm Loh,Germany,Haiger,Manufacturing,Manufacturing,FALSE,Male,Loh,Friedhelm,9700,8/15/1946,79,1946,8,15,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
190,Healthcare,Sun Piaoyang,China,Lianyungang,Pharmaceuticals,Healthcare,TRUE,Male,Sun,Piaoyang,9700,9/1/1958,67,1958,9,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
195,Technology,Rick Cohen & family,United States,Keene,Warehouse automation,Technology,FALSE,Male,Cohen,Rick,9600,7/25/1952,73,1952,7,25,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
195,Energy,Jin Baofang,China,Xingtai,Solar panels,Energy,TRUE,Male,Jin,Baofang,9600,9/1/1952,73,1952,9,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
195,Manufacturing,Luo Liguo & family,China,Ningbo,Chemicals,Manufacturing,TRUE,Male,Luo,Liguo,9600,3/1/1956,70,1956,3,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
195,Food & Beverage,Marijke Mars,United States,Los Angeles,"Candy, pet food",Food & Beverage,FALSE,Female,Mars,Marijke,9600,7/28/1964,61,1964,7,28,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
195,Food & Beverage,Pamela Mars,United States,Alexandria,"Candy, pet food",Food & Beverage,FALSE,Female,Mars,Pamela,9600,8/1/1960,65,1960,8,1,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
195,Food & Beverage,Valerie Mars,United States,New York,"Candy, pet food",Food & Beverage,FALSE,Female,Mars,Valerie,9600,1/26/1959,67,1959,1,26,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
195,Food & Beverage,Victoria Mars,United States,Philadelphia,"Candy, pet food",Food & Beverage,FALSE,Female,Mars,Victoria,9600,12/15/1956,69,1956,12,15,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
202,Finance & Investments,Vincent Bolloré & family,France,Paris,Investments,Finance & Investments,FALSE,Male,Bolloré,Vincent,9500,4/1/1952,74,1952,4,1,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
202,Diversified,Jim Pattison,Canada,Vancouver,Diversified,Diversified,TRUE,Male,Pattison,Jim,9500,10/1/1928,97,1928,10,1,116.76,1736425629520,81.9,12.8,24.5,36991981,,11/25/25
204,Healthcare,Ernesto Bertarelli,Switzerland,Gstaad,"Biotech, investments",Healthcare,FALSE,Male,Bertarelli,Ernesto,9400,9/22/1965,60,1965,9,22,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
204,Technology,Wang Xing,China,Beijing,Food delivery,Technology,TRUE,Male,Wang,Xing,9400,2/18/1979,47,1979,2,18,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
206,Technology,Brian Chesky,United States,San Francisco,Airbnb,Technology,TRUE,Male,Chesky,Brian,9300,8/29/1981,44,1981,8,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
206,Manufacturing,James Dyson,United Kingdom,Gloucestershire,Vacuums,Manufacturing,TRUE,Male,Dyson,James,9300,5/2/1947,79,1947,5,2,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
208,Diversified,Roman Abramovich & family,Russia,Moscow,"Steel, investments",Diversified,TRUE,Male,Abramovich,Roman,9200,10/24/1966,59,1966,10,24,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
208,Diversified,Antonia Ax:son Johnson & family,Sweden,Stockholm,Diversified,Diversified,FALSE,Female,Ax:son Johnson,Antonia,9200,9/6/1943,82,1943,9,6,110.51,530832908738,82.5,27.9,49.1,10285453,,11/25/25
208,Energy,Daniel Kretinsky,Czech Republic,Prague,"Energy, investments",Energy,TRUE,Male,Kretinsky,Daniel,9200,7/9/1975,50,1975,7,9,116.48,246489245495,79,14.9,46.1,10669709,,11/25/25
208,Media & Entertainment,John Malone,United States,Elizabeth,Cable television,Media & Entertainment,TRUE,Male,Malone,John,9200,3/7/1941,85,1941,3,7,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
208,Technology,Azim Premji,India,Bangalore,Software services,Technology,FALSE,Male,Premji,Azim,9200,7/24/1945,80,1945,7,24,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
208,Finance & Investments,Charles Schwab,United States,Woodside,Discount brokerage,Finance & Investments,TRUE,Male,Schwab,Charles,9200,7/29/1937,88,1937,7,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
208,Fashion & Retail,Eric Smidt,United States,Beverly Hills,Hardware stores,Fashion & Retail,TRUE,Male,Smidt,Eric,9200,1/1/1960,66,1960,1,1,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
215,Technology,David Cheriton,United States,Palo Alto,Google,Technology,TRUE,Male,Cheriton,David,9000,3/29/1951,75,1951,3,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
215,Metals & Mining,Ivan Glasenberg,Switzerland,Ruschlikon,Mining,Metals & Mining,TRUE,Male,Glasenberg,Ivan,9000,1/7/1957,69,1957,1,7,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
215,Real Estate,Alexander Otto,Germany,Hamburg,Real estate,Real Estate,FALSE,Male,Otto,Alexander,9000,7/7/1967,58,1967,7,7,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
215,Food & Beverage,Anthony von Mandl,Canada,Vancouver,Alcoholic beverages,Food & Beverage,TRUE,Male,von Mandl,Anthony,9000,3/10/1950,76,1950,3,10,116.76,1736425629520,81.9,12.8,24.5,36991981,,11/25/25
215,Manufacturing,Wang Liping & family,China,Changzhou,Hydraulic machinery,Manufacturing,TRUE,Male,Wang,Liping,9000,2/24/1966,60,1966,2,24,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
220,Food & Beverage,Finn Rausing,United Kingdom,London,Packaging,Food & Beverage,FALSE,Male,Rausing,Finn,8900,1/1/1955,71,1955,1,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
220,Food & Beverage,Jorn Rausing,United Kingdom,Surrey,Packaging,Food & Beverage,FALSE,Male,Rausing,Jorn,8900,1/1/1960,66,1960,1,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
220,Food & Beverage,Kirsten Rausing,United Kingdom,Newmarket,Packaging,Food & Beverage,FALSE,Female,Rausing,Kirsten,8900,6/6/1952,73,1952,6,6,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
223,Fashion & Retail,Tatyana Bakalchuk,Russia,Moscow region,Ecommerce,Fashion & Retail,TRUE,Female,Bakalchuk,Tatyana,8800,10/16/1975,50,1975,10,16,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
223,Technology,John Doerr,United States,Woodside,Venture capital,Technology,TRUE,Male,Doerr,John,8800,6/29/1951,74,1951,6,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
223,Technology,Richard Liu,China,Beijing,E-commerce,Technology,TRUE,Male,Liu,Richard,8800,3/10/1974,52,1974,3,10,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
223,Technology,Dustin Moskovitz,United States,San Francisco,Facebook,Technology,TRUE,Male,Moskovitz,Dustin,8800,5/22/1984,42,1984,5,22,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
223,Technology,Pierre Omidyar,United States,Honolulu,"EBay, PayPal",Technology,TRUE,Male,Omidyar,Pierre,8800,6/21/1967,58,1967,6,21,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
223,Energy,Pei Zhenhua,China,Ningde,Batteries,Energy,TRUE,Male,Pei,Zhenhua,8800,1/1/1959,67,1959,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
223,Energy,Carrie Perrodo & family,United Kingdom,London,Oil,Energy,FALSE,Female,Perrodo,Carrie,8800,1/1/1951,75,1951,1,1,119.62,2827113184696,81.3,25.5,30.6,66834405,,11/25/25
230,Manufacturing,Chen Jianhua,China,Wujiang,Chemicals,Manufacturing,TRUE,Male,Chen,Jianhua,8700,1/1/1971,55,1971,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
230,Fashion & Retail,Michael Otto,Germany,Hamburg,"Retail, real estate",Fashion & Retail,FALSE,Male,Otto,Michael,8700,4/12/1943,83,1943,4,12,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
232,Finance & Investments,Leon Black,United States,New York,Private equity,Finance & Investments,TRUE,Male,Black,Leon,8600,7/31/1951,74,1951,7,31,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
232,Finance & Investments,Graeme Hart,New Zealand,Auckland,Investments,Finance & Investments,TRUE,Male,Hart,Graeme,8600,6/6/1955,70,1955,6,6,114.24,206928765544,81.9,29,34.6,4841000,,11/25/25
232,Food & Beverage,Ravi Jaipuria,India,Delhi,"Soft drinks, fast food",Food & Beverage,FALSE,Male,Jaipuria,Ravi,8600,11/28/1954,71,1954,11,28,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
232,Technology,Hasso Plattner & family,Germany,Heidelberg,Software,Technology,TRUE,Male,Plattner,Hasso,8600,1/21/1944,82,1944,1,21,112.85,3845630030824,80.9,11.5,48.8,83132799,,11/25/25
232,Food & Beverage,Carlos Alberto Sicupira & family,Switzerland,St. Gallen,Beer,Food & Beverage,TRUE,Male,Sicupira,Carlos Alberto,8600,1/1/1948,78,1948,1,1,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
232,Real Estate,Manuel Villar,Philippines,Manila,Real estate,Real Estate,TRUE,Male,Villar,Manuel,8600,12/13/1949,76,1949,12,13,129.61,376795508680,71.1,14,43.1,108116615,,11/25/25
232,Technology,Andreas von Bechtolsheim & family,United States,Palo Alto,Google,Technology,TRUE,Male,von Bechtolsheim,Andreas,8600,9/30/1955,70,1955,9,30,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
239,Finance & Investments,"Chase Coleman, III.",United States,New York,Investments,Finance & Investments,TRUE,Male,Coleman,Chase,8500,6/21/1975,50,1975,6,21,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
239,Fashion & Retail,Ann Walton Kroenke,United States,Electra,Walmart,Fashion & Retail,FALSE,Female,Kroenke,Ann Walton,8500,12/18/1948,77,1948,12,18,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
239,Manufacturing,Li Zhenguo & family,China,Xi'an,Solar wafers and modules,Manufacturing,TRUE,Male,Li,Zhenguo,8500,1/1/1968,58,1968,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
242,Media & Entertainment,Jim Kennedy,United States,Atlanta,"Media, automotive",Media & Entertainment,FALSE,Male,Kennedy,Jim,8400,11/29/1947,78,1947,11,29,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
242,Metals & Mining,Nicky Oppenheimer & family,South Africa,Johannesburg,Diamonds,Metals & Mining,FALSE,Male,Oppenheimer,Nicky,8400,6/8/1945,80,1945,6,8,158.93,351431649241,63.9,27.5,29.2,58558270,,11/25/25
242,Media & Entertainment,Blair Parry-Okeden,Australia,New South Wales,"Media, automotive",Media & Entertainment,FALSE,Female,Parry-Okeden,Blair,8400,5/21/1950,76,1950,5,21,119.8,1392680589329,82.7,23,47.4,25766605,,11/25/25
242,Metals & Mining,Zheng Shuliang & family,China,Binzhou,Aluminum products,Metals & Mining,FALSE,Female,Zheng,Shuliang,8400,1/1/1946,80,1946,1,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
246,Fashion & Retail,John Morris,United States,Springfield,Sporting goods retail,Fashion & Retail,TRUE,Male,Morris,John,8300,3/19/1948,78,1948,3,19,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
249,Energy,German Khan,Russia,Moscow,"Oil, banking, telecom",Energy,TRUE,Male,Khan,German,8200,10/24/1961,64,1961,10,24,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
249,Diversified,Abdulsamad Rabiu,Nigeria,Lagos,"Cement, sugar",Diversified,FALSE,Male,Rabiu,Abdulsamad,8200,8/4/1960,65,1960,8,4,267.51,448120428859,54.3,1.5,34.8,200963599,,11/25/25
249,Finance & Investments,George Roberts,United States,Atherton,Private equity,Finance & Investments,TRUE,Male,Roberts,George,8200,9/14/1943,82,1943,9,14,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
249,Real Estate,Kushal Pal Singh,India,Delhi,Real estate,Real Estate,FALSE,Male,Singh,Kushal Pal,8200,8/15/1931,94,1931,8,15,180.44,2611000000000,69.4,11.2,49.7,1366417754,,11/25/25
249,Real Estate,Wang Jianlin,China,Beijing,Real estate,Real Estate,TRUE,Male,Wang,Jianlin,8200,10/1/1954,71,1954,10,1,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
249,Real Estate,Yang Huiyan & family,China,Foshan,Real estate,Real Estate,FALSE,Female,Yang,Huiyan,8200,9/27/1981,44,1981,9,27,125.08,19910000000000,77,9.4,59.2,1397715000,,11/25/25
256,Diversified,Laurent Dassault,France,Paris,Diversified,Diversified,FALSE,Male,Dassault,Laurent,8100,7/7/1953,72,1953,7,7,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
256,Diversified,Thierry Dassault,France,Paris,Diversified,Diversified,FALSE,Male,Dassault,Thierry,8100,3/26/1957,69,1957,3,26,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
256,Food & Beverage,Tilman Fertitta,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,TRUE,Male,Fertitta,Tilman,8100,6/25/1957,68,1957,6,25,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
256,Diversified,Marie-Hélène Habert-Dassault,France,Paris,Diversified,Diversified,FALSE,Female,Habert-Dassault,Marie-Hélène,8100,4/4/1965,61,1965,4,4,110.05,2715518274227,82.5,24.2,60.7,67059887,,11/25/25
256,Gambling & Casinos,Karel Komarek,Switzerland,Verbier,"Oil and gas, IT, lotteries",Gambling & Casinos,TRUE,Male,Komarek,Karel,8100,3/15/1969,57,1969,3,15,99.55,703082435360,83.6,10.1,28.8,8574832,,11/25/25
261,Technology,Nathan Blecharczyk,United States,San Francisco,Airbnb,Technology,TRUE,Male,Blecharczyk,Nathan,8000,6/11/1983,42,1983,6,11,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
261,Energy,Leonid Fedun,Russia,Moscow,Oil,Energy,TRUE,Male,Fedun,Leonid,8000,4/5/1956,70,1956,4,5,180.75,1699876578871,72.7,11.4,46.2,144373535,,11/25/25
261,Fashion & Retail,Bernard Marcus,United States,Atlanta,Home Depot,Fashion & Retail,TRUE,Male,Marcus,Bernard,8000,5/12/1929,97,1929,5,12,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
261,Finance & Investments,Patrick Ryan,United States,Winnetka,Insurance,Finance & Investments,TRUE,Male,Ryan,Patrick,8000,5/15/1937,89,1937,5,15,117.24,21427700000000,78.5,9.6,36.6,328239523,,11/25/25
