rank,category,personName,country,city,source,industries,selfMade,gender,lastName,firstName,finalWorth,birthYear,birthMonth,birthDay,cpi_country,gdp_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,
142,Healthcare,Jiang Rensheng & family,China,Chongqing,Vaccines,Healthcare,TRUE,M,Jiang,Rensheng,12200,1953,10,8,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
144,Automotive,Shahid Khan,United States,Naples,Auto parts,Automotive,TRUE,M,Khan,Shahid,12100,1950,7,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
145,Technology,Laurene Powell Jobs & family,United States,Palo Alto,"Apple, Disney",Technology,FALSE,F,Powell Jobs,Laurene,12000,1963,11,6,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
147,Real Estate,Stephen Ross,United States,New York,Real estate,Real Estate,TRUE,M,Ross,Stephen,11600,1940,5,10,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
148,Technology,Pavel Durov,United Arab Emirates,Dubai,Messaging app,Technology,TRUE,M,Durov,Pavel,11500,1984,10,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
148,Healthcare,Andreas Struengmann & family,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,M,Struengmann,Andreas,11500,1950,2,16,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
148,Healthcare,Thomas Struengmann & family,Germany,Tegernsee,Pharmaceuticals,Healthcare,TRUE,M,Struengmann,Thomas,11500,1950,2,16,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
151,Food & Beverage,Liu Hanyuan,China,Chengdu,Agribusiness,Food & Beverage,TRUE,M,Liu,Hanyuan,11400,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
151,Fashion & Retail,Michael Rubin,United States,Bryn Mawr,Online retail,Fashion & Retail,TRUE,M,Rubin,Michael,11400,1972,7,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
153,Finance & Investments,Israel Englander,United States,New York,Hedge funds,Finance & Investments,TRUE,M,Englander,Israel,11300,1948,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
153,Manufacturing,Viatcheslav Kantor,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,TRUE,M,Kantor,Viatcheslav,11300,1953,9,8,108.15,"$395,098,666,122 ",82.8,23.1,25.3,9053300,
153,Manufacturing,Anthony Pratt,Australia,Melbourne,Manufacturing,Manufacturing,FALSE,M,Pratt,Anthony,11300,1960,4,11,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
153,Finance & Investments,Mikhail Prokhorov,Switzerland,Frauenfeld,Investments,Finance & Investments,TRUE,M,Prokhorov,Mikhail,11300,1965,5,3,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
157,Fashion & Retail,Giorgio Armani,Italy,Milan,Luxury goods,Fashion & Retail,TRUE,M,Armani,Giorgio,11100,1934,7,11,110.62,"$2,001,244,392,042 ",82.9,24.3,59.1,60297396,
157,Fashion & Retail,Johann Rupert & family,South Africa,Cape Town,Luxury goods,Fashion & Retail,FALSE,M,Rupert,Johann,11100,1950,6,1,158.93,"$351,431,649,241 ",63.9,27.5,29.2,58558270,
159,Technology,Zhang Zhidong,China,Shenzhen,Internet media,Technology,TRUE,M,Zhang,Zhidong,11000,1972,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
161,Finance & Investments,Philip Anschutz,United States,Denver,"Energy, sports, entertainment",Finance & Investments,FALSE,M,Anschutz,Philip,10900,1939,12,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
161,Fashion & Retail,Judy Love & family,United States,Oklahoma City,Gas stations,Fashion & Retail,TRUE,F,Love,Judy,10900,1937,6,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
161,Fashion & Retail,Ricardo Salinas Pliego & family,Mexico,Mexico City,"Retail, media",Fashion & Retail,FALSE,M,Salinas Pliego,Ricardo,10900,1955,10,19,141.54,"$1,258,286,717,125 ",75,13.1,55.1,126014024,
164,Media & Entertainment,Donald Newhouse,United States,New York,Media,Media & Entertainment,FALSE,M,Newhouse,Donald,10700,1929,8,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
165,Sports,Robert Kraft,United States,Brookline,"Manufacturing, New England Patriots",Sports,TRUE,M,Kraft,Robert,10600,1941,6,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
165,Food & Beverage,Marcel Herrmann Telles,Brazil,Sao Paulo,Beer,Food & Beverage,TRUE,M,Telles,Marcel Herrmann,10600,1950,1,1,167.4,"$1,839,758,040,766 ",75.7,14.2,65.1,212559417,
167,Finance & Investments,Suleiman Kerimov & family,Russia,Moscow,Gold,Finance & Investments,TRUE,M,Kerimov & family,Suleiman,10500,1966,3,12,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
167,Fashion & Retail,Sky Xu,China,Guangzhou,E-commerce,Fashion & Retail,TRUE,M,Xu,Sky,10500,1984,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
167,Finance & Investments,Changpeng Zhao,United Arab Emirates,Dubai,Cryptocurrency exchange,Finance & Investments,TRUE,M,Zhao,Changpeng,10500,1977,9,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
170,Finance & Investments,Andrew Beal,United States,Dallas,"Banks, real estate",Finance & Investments,TRUE,M,Beal,Andrew,10300,1952,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
171,Technology,Mike Cannon-Brookes,Australia,Sydney,Software,Technology,TRUE,M,Cannon-Brookes,Mike,10200,1979,11,17,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
171,Healthcare,Carl Cook,United States,Bloomington,Medical devices,Healthcare,FALSE,M,Cook,Carl,10200,1962,8,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
171,Technology,David Duffield,United States,Incline Village,Business software,Technology,TRUE,M,Duffield,David,10200,1940,9,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
171,Energy,Jeffery Hildebrand,United States,Houston,Oil,Energy,TRUE,M,Hildebrand,Jeffery,10200,1959,3,5,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
171,Manufacturing,Viktor Rashnikov,Russia,Magnitogorsk,Steel,Manufacturing,TRUE,M,Rashnikov,Viktor,10200,1948,10,13,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
171,Technology,Eduardo Saverin,Singapore,Singapore,Facebook,Technology,TRUE,M,Saverin,Eduardo,10200,1982,3,19,114.41,"$372,062,527,489 ",83.1,13.1,21,5703569,
171,Automotive,Georg Schaeffler,Germany,Herzogenaurach,Auto parts,Automotive,FALSE,M,Schaeffler,Georg,10200,1964,10,19,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
171,Fashion & Retail,Christy Walton,United States,Jackson,Walmart,Fashion & Retail,FALSE,F,Walton,Christy,10200,1949,2,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
179,Technology,Scott Farquhar,Australia,Sydney,Software,Technology,TRUE,M,Farquhar,Scott,10100,1979,12,17,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
179,Diversified,Quek Leng Chan,Malaysia,Kuala Lumpur,"Banking, property",Diversified,FALSE,M,Quek,Leng Chan,10100,1941,8,12,121.46,"$364,701,517,788 ",76,12,38.7,32447385,
179,Real Estate,Wu Yajun,China,Beijing,Real estate,Real Estate,TRUE,F,Wu,Yajun,10100,1964,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
182,Energy,Autry Stephens,United States,Midland,Oil,Energy,TRUE,M,Stephens,Autry,10000,1938,3,8,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
183,Service,Liu Yongxing,China,Shanghai,Diversified,Service,TRUE,M,Liu,Yongxing,9900,1948,6,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
184,Diversified,Vinod Adani,United Arab Emirates,Dubai,"Infrastructure, commodities",Diversified,TRUE,M,Adani,Vinod,9800,1949,1,10,114.52,"$421,142,267,938 ",77.8,0.1,15.9,9770529,
184,Fashion & Retail,Nicolas Puech,Switzerland,Martigny,Hermes,Fashion & Retail,FALSE,M,Puech,Nicolas,9800,1943,1,29,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
184,Logistics,"Jacques Saadé, Jr.",France,Marseille,Shipping,Logistics,FALSE,M,Saadé,Jacques,9800,1971,8,10,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
184,Logistics,Rodolphe Saadé,France,Marseille,Shipping,Logistics,FALSE,M,Saadé,Rodolphe,9800,1970,3,3,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
184,Logistics,Tanya Saadé Zeenny,France,Marseille,Shipping,Logistics,FALSE,F,Saadé Zeenny,Tanya,9800,1968,2,1,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
184,Finance & Investments,Melker Schorling & family,Sweden,Stockholm,Investments,Finance & Investments,TRUE,M,Schorling,Melker,9800,1947,5,15,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
190,Manufacturing,Andrei Guriev & family,Russia,Moscow,Fertilizers,Manufacturing,TRUE,M,Guriev & family,Andrei,9700,1960,3,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
190,Finance & Investments,Michael Kim,South Korea,Seoul,Private equity,Finance & Investments,TRUE,M,Kim,Michael,9700,1963,10,1,115.16,"$2,029,000,000,000 ",82.6,15.6,33.2,51709098,
190,Technology,Lei Jun,China,Beijing,Smartphones,Technology,TRUE,M,Lei,Jun,9700,1969,12,16,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
190,Manufacturing,Friedhelm Loh,Germany,Haiger,Manufacturing,Manufacturing,FALSE,M,Loh,Friedhelm,9700,1946,8,15,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
190,Healthcare,Sun Piaoyang,China,Lianyungang,Pharmaceuticals,Healthcare,TRUE,M,Sun,Piaoyang,9700,1958,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
190,Healthcare,Sun Piaoyang,China,Lianyungang,Pharmaceuticals,Healthcare,TRUE,M,Sun,Piaoyang,9700,1958,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
190,Healthcare,Sun Piaoyang,China,Lianyungang,Pharmaceuticals,Healthcare,TRUE,M,Sun,Piaoyang,9700,1958,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
195,Technology,Rick Cohen & family,United States,Keene,Warehouse automation,Technology,FALSE,M,Cohen,Rick,9600,1952,7,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
195,Energy,Jin Baofang,China,Xingtai,Solar panels,Energy,TRUE,M,Jin,Baofang,9600,1952,9,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
195,Manufacturing,Luo Liguo & family,China,Ningbo,Chemicals,Manufacturing,TRUE,M,Luo,Liguo,9600,1956,3,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
195,Food & Beverage,Marijke Mars,United States,Los Angeles,"Candy, pet food",Food & Beverage,FALSE,F,Mars,Marijke,9600,1964,7,28,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
195,Food & Beverage,Pamela Mars,United States,Alexandria,"Candy, pet food",Food & Beverage,FALSE,F,Mars,Pamela,9600,1960,8,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
195,Food & Beverage,Valerie Mars,United States,New York,"Candy, pet food",Food & Beverage,FALSE,F,Mars,Valerie,9600,1959,1,26,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
195,Food & Beverage,Victoria Mars,United States,Philadelphia,"Candy, pet food",Food & Beverage,FALSE,F,Mars,Victoria,9600,1956,12,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
202,Finance & Investments,Vincent Bolloré & family,France,Paris,Investments,Finance & Investments,FALSE,M,Bolloré,Vincent,9500,1952,4,1,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
202,Diversified,Jim Pattison,Canada,Vancouver,Diversified,Diversified,TRUE,M,Pattison,Jim,9500,1928,10,1,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
204,Healthcare,Ernesto Bertarelli,Switzerland,Gstaad,"Biotech, investments",Healthcare,FALSE,M,Bertarelli,Ernesto,9400,1965,9,22,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
204,Technology,Wang Xing,China,Beijing,Food delivery,Technology,TRUE,M,Wang,Xing,9400,1979,2,18,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
206,Technology,Brian Chesky,United States,San Francisco,Airbnb,Technology,TRUE,M,Chesky,Brian,9300,1981,8,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
206,Manufacturing,James Dyson,United Kingdom,Gloucestershire,Vacuums,Manufacturing,TRUE,M,Dyson,James,9300,1947,5,2,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
208,Diversified,Roman Abramovich & family,Russia,Moscow,"Steel, investments",Diversified,TRUE,M,Abramovich,Roman,9200,1966,10,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
208,Diversified,Antonia Ax:son Johnson & family,Sweden,Stockholm,Diversified,Diversified,FALSE,F,Ax:son Johnson,Antonia,9200,1943,9,6,110.51,"$530,832,908,738 ",82.5,27.9,49.1,10285453,
208,Energy,Daniel Kretinsky,Czech Republic,Prague,"Energy, investments",Energy,TRUE,M,Kretinsky,Daniel,9200,1975,7,9,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709,
208,Media & Entertainment,John Malone,United States,Elizabeth,Cable television,Media & Entertainment,TRUE,M,Malone,John,9200,1941,3,7,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
208,Technology,Azim Premji,India,Bangalore,Software services,Technology,FALSE,M,Premji,Azim,9200,1945,7,24,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
208,Finance & Investments,Charles Schwab,United States,Woodside,Discount brokerage,Finance & Investments,TRUE,M,Schwab,Charles,9200,1937,7,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
208,Fashion & Retail,Eric Smidt,United States,Beverly Hills,Hardware stores,Fashion & Retail,TRUE,M,Smidt,Eric,9200,1960,1,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
215,Technology,David Cheriton,United States,Palo Alto,Google,Technology,TRUE,M,Cheriton,David,9000,1951,3,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
215,Metals & Mining,Ivan Glasenberg,Switzerland,Ruschlikon,Mining,Metals & Mining,TRUE,M,Glasenberg,Ivan,9000,1957,1,7,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
215,Real Estate,Alexander Otto,Germany,Hamburg,Real estate,Real Estate,FALSE,M,Otto,Alexander,9000,1967,7,7,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
215,Food & Beverage,Anthony von Mandl,Canada,Vancouver,Alcoholic beverages,Food & Beverage,TRUE,M,von Mandl,Anthony,9000,1950,3,10,116.76,"$1,736,425,629,520 ",81.9,12.8,24.5,36991981,
215,Manufacturing,Wang Liping & family,China,Changzhou,Hydraulic machinery,Manufacturing,TRUE,M,Wang,Liping,9000,1966,2,24,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
220,Food & Beverage,Finn Rausing,United Kingdom,London,Packaging,Food & Beverage,FALSE,M,Rausing,Finn,8900,1955,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
220,Food & Beverage,Jorn Rausing,United Kingdom,Surrey,Packaging,Food & Beverage,FALSE,M,Rausing,Jorn,8900,1960,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
220,Food & Beverage,Kirsten Rausing,United Kingdom,Newmarket,Packaging,Food & Beverage,FALSE,F,Rausing,Kirsten,8900,1952,6,6,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
223,Fashion & Retail,Tatyana Bakalchuk,Russia,Moscow region,Ecommerce,Fashion & Retail,TRUE,F,Bakalchuk,Tatyana,8800,1975,10,16,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
223,Technology,John Doerr,United States,Woodside,Venture capital,Technology,TRUE,M,Doerr,John,8800,1951,6,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
223,Technology,Richard Liu,China,Beijing,E-commerce,Technology,TRUE,M,Liu,Richard,8800,1974,3,10,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
223,Technology,Dustin Moskovitz,United States,San Francisco,Facebook,Technology,TRUE,M,Moskovitz,Dustin,8800,1984,5,22,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
223,Technology,Pierre Omidyar,United States,Honolulu,"EBay, PayPal",Technology,TRUE,M,Omidyar,Pierre,8800,1967,6,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
223,Energy,Pei Zhenhua,China,Ningde,Batteries,Energy,TRUE,M,Pei,Zhenhua,8800,1959,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
223,Energy,Carrie Perrodo & family,United Kingdom,London,Oil,Energy,FALSE,F,Perrodo,Carrie,8800,1951,1,1,119.62,"$2,827,113,184,696 ",81.3,25.5,30.6,66834405,
230,Manufacturing,Chen Jianhua,China,Wujiang,Chemicals,Manufacturing,TRUE,M,Chen,Jianhua,8700,1971,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
230,Fashion & Retail,Michael Otto,Germany,Hamburg,"Retail, real estate",Fashion & Retail,FALSE,M,Otto,Michael,8700,1943,4,12,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
232,Finance & Investments,Leon Black,United States,New York,Private equity,Finance & Investments,TRUE,M,Black,Leon,8600,1951,7,31,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
232,Finance & Investments,Graeme Hart,New Zealand,Auckland,Investments,Finance & Investments,TRUE,M,Hart,Graeme,8600,1955,6,6,114.24,"$206,928,765,544 ",81.9,29,34.6,4841000,
232,Food & Beverage,Ravi Jaipuria,India,Delhi,"Soft drinks, fast food",Food & Beverage,FALSE,M,Jaipuria,Ravi,8600,1954,11,28,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
232,Technology,Hasso Plattner & family,Germany,Heidelberg,Software,Technology,TRUE,M,Plattner,Hasso,8600,1944,1,21,112.85,"$3,845,630,030,824 ",80.9,11.5,48.8,83132799,
232,Food & Beverage,Carlos Alberto Sicupira & family,Switzerland,St. Gallen,Beer,Food & Beverage,TRUE,M,Sicupira,Carlos Alberto,8600,1948,1,1,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
232,Real Estate,Manuel Villar,Philippines,Manila,Real estate,Real Estate,TRUE,M,Villar,Manuel,8600,1949,12,13,129.61,"$376,795,508,680 ",71.1,14,43.1,108116615,
232,Technology,Andreas von Bechtolsheim & family,United States,Palo Alto,Google,Technology,TRUE,M,von Bechtolsheim,Andreas,8600,1955,9,30,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
239,Finance & Investments,"Chase Coleman, III.",United States,New York,Investments,Finance & Investments,TRUE,M,Coleman,Chase,8500,1975,6,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
239,Fashion & Retail,Ann Walton Kroenke,United States,Electra,Walmart,Fashion & Retail,FALSE,F,Kroenke,Ann Walton,8500,1948,12,18,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
239,Manufacturing,Li Zhenguo & family,China,Xi'an,Solar wafers and modules,Manufacturing,TRUE,M,Li,Zhenguo,8500,1968,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
242,Media & Entertainment,Jim Kennedy,United States,Atlanta,"Media, automotive",Media & Entertainment,FALSE,M,Kennedy,Jim,8400,1947,11,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
242,Metals & Mining,Nicky Oppenheimer & family,South Africa,Johannesburg,Diamonds,Metals & Mining,FALSE,M,Oppenheimer,Nicky,8400,1945,6,8,158.93,"$351,431,649,241 ",63.9,27.5,29.2,58558270,
242,Media & Entertainment,Blair Parry-Okeden,Australia,New South Wales,"Media, automotive",Media & Entertainment,FALSE,F,Parry-Okeden,Blair,8400,1950,5,21,119.8,"$1,392,680,589,329 ",82.7,23,47.4,25766605,
242,Metals & Mining,Zheng Shuliang & family,China,Binzhou,Aluminum products,Metals & Mining,FALSE,F,Zheng,Shuliang,8400,1946,1,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
246,Fashion & Retail,John Morris,United States,Springfield,Sporting goods retail,Fashion & Retail,TRUE,M,Morris,John,8300,1948,3,19,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
249,Energy,German Khan,Russia,Moscow,"Oil, banking, telecom",Energy,TRUE,M,Khan,German,8200,1961,10,24,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
249,Diversified,Abdulsamad Rabiu,Nigeria,Lagos,"Cement, sugar",Diversified,FALSE,M,Rabiu,Abdulsamad,8200,1960,8,4,267.51,"$448,120,428,859 ",54.3,1.5,34.8,200963599,
249,Finance & Investments,George Roberts,United States,Atherton,Private equity,Finance & Investments,TRUE,M,Roberts,George,8200,1943,9,14,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
249,Real Estate,Kushal Pal Singh,India,Delhi,Real estate,Real Estate,FALSE,M,Singh,Kushal Pal,8200,1931,8,15,180.44,"$2,611,000,000,000 ",69.4,11.2,49.7,1366417754,
249,Real Estate,Wang Jianlin,China,Beijing,Real estate,Real Estate,TRUE,M,Wang,Jianlin,8200,1954,10,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
249,Real Estate,Yang Huiyan & family,China,Foshan,Real estate,Real Estate,FALSE,F,Yang,Huiyan,8200,1981,9,27,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
256,Diversified,Laurent Dassault,France,Paris,Diversified,Diversified,FALSE,M,Dassault,Laurent,8100,1953,7,7,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
256,Diversified,Thierry Dassault,France,Paris,Diversified,Diversified,FALSE,M,Dassault,Thierry,8100,1957,3,26,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
256,Food & Beverage,Tilman Fertitta,United States,Houston,"Houston Rockets, entertainment",Food & Beverage,TRUE,M,Fertitta,Tilman,8100,1957,6,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
256,Diversified,Marie-Hélène Habert-Dassault,France,Paris,Diversified,Diversified,FALSE,F,Habert-Dassault,Marie-Hélène,8100,1965,4,4,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
256,Gambling & Casinos,Karel Komarek,Switzerland,Verbier,"Oil and gas, IT, lotteries",Gambling & Casinos,TRUE,M,Komarek,Karel,8100,1969,3,15,99.55,"$703,082,435,360 ",83.6,10.1,28.8,8574832,
261,Technology,Nathan Blecharczyk,United States,San Francisco,Airbnb,Technology,TRUE,M,Blecharczyk,Nathan,8000,1983,6,11,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
261,Energy,Leonid Fedun,Russia,Moscow,Oil,Energy,TRUE,M,Fedun,Leonid,8000,1956,4,5,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
261,Fashion & Retail,Bernard Marcus,United States,Atlanta,Home Depot,Fashion & Retail,TRUE,M,Marcus,Bernard,8000,1929,5,12,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
261,Finance & Investments,Patrick Ryan,United States,Winnetka,Insurance,Finance & Investments,TRUE,M,Ryan,Patrick,8000,1937,5,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
261,Finance & Investments,Robert F. Smith,United States,Austin,Private equity,Finance & Investments,TRUE,M,Smith,Robert F.,8000,1962,12,1,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
261,Metals & Mining,Pavel Tykac,Czech Republic,Prague,Coal mines,Metals & Mining,TRUE,M,Tykac,Pavel,8000,1964,5,15,116.48,"$246,489,245,495 ",79,14.9,46.1,10669709,
268,Finance & Investments,Orlando Bravo,United States,Miami Beach,Private equity,Finance & Investments,TRUE,M,Bravo,Orlando,7900,1970,9,23,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
268,Fashion & Retail,Ding Shizhong,China,Quanzhou,Sports apparel,Fashion & Retail,TRUE,M,Ding,Shizhong,7900,1970,12,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
268,Fashion & Retail,Nancy Walton Laurie,United States,Henderson,Walmart,Fashion & Retail,FALSE,F,Laurie,Nancy Walton,7900,1951,5,15,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
268,Technology,Jay Y. Lee,South Korea,Seoul,Samsung,Technology,FALSE,M,Lee,Jay Y.,7900,1968,6,23,115.16,"$2,029,000,000,000 ",82.6,15.6,33.2,51709098,
268,Finance & Investments,Ramzi Musallam,United States,New York,Private equity,Finance & Investments,TRUE,M,Musallam,Ramzi,7900,1968,9,17,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
268,Finance & Investments,David Shaw,United States,New York,Hedge funds,Finance & Investments,TRUE,M,Shaw,David,7900,1951,3,29,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
268,Metals & Mining,Andrei Skoch & family,Russia,Moscow,Metals and mining,Metals & Mining,TRUE,M,Skoch & family,Andrei,7900,1966,1,30,180.75,"$1,699,876,578,871 ",72.7,11.4,46.2,144373535,
268,Diversified,Georg Stumpf,Austria,Vienna,"Real estate, construction",Diversified,TRUE,M,Stumpf,Georg,7900,1972,9,14,118.06,"$446,314,739,528 ",81.6,25.4,51.4,8877067,
276,Telecom,Rocco Commisso,United States,Saddle River,Telecom,Telecom,TRUE,M,Commisso,Rocco,7800,1949,11,25,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
276,Manufacturing,Li Shuirong & family,China,Hangzhou,Petrochemicals,Manufacturing,TRUE,M,Li,Shuirong,7800,1956,7,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
276,Technology,Qi Shi & family,China,Shanghai,Financial information,Technology,TRUE,M,Qi,Shi,7800,1970,1,3,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
276,Manufacturing,Yao Liangsong,China,Guangzhou,Furniture,Manufacturing,TRUE,M,Yao,Liangsong,7800,1964,8,1,125.08,"$19,910,000,000,000 ",77,9.4,59.2,1397715000,
282,Food & Beverage,Jean-Michel Besnier,France,Laval,Cheese,Food & Beverage,FALSE,M,Besnier,Jean-Michel,7700,1967,6,5,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
282,Food & Beverage,Marie Besnier Beauvalot,France,Laval,Cheese,Food & Beverage,FALSE,F,Besnier Beauvalot,Marie,7700,1980,7,30,110.05,"$2,715,518,274,227 ",82.5,24.2,60.7,67059887,
282,Media & Entertainment,David Geffen,United States,Beverly Hills,"Movies, record labels",Media & Entertainment,TRUE,M,Geffen,David,7700,1943,2,21,117.24,"$21,427,700,000,000 ",78.5,9.6,36.6,328239523,
